date,product_id,total_amt
2021-01-22,8ec0400b,1393.54
2021-01-22,a6d13cea,2380.77
2021-01-22,1fbbaa65,417.79
2021-01-22,c8575c03,3991.77
2021-01-22,829c4f6b,2713.42
2021-01-22,95f5388c,1154.93
2021-01-22,78f0fbc7,2948.99
2021-01-22,dda1674e,2229.02
2021-01-22,e9777645,878.26
2021-01-22,73ac53dc,971.11
2021-01-22,745365ef,3291.03
2021-01-22,aa86fa16,1805.46
2021-01-22,f8f359db,737.85
2021-01-22,f6580645,1572.28
2021-01-22,b657483d,2906.74
2021-01-22,05065d8d,1304.28
2021-01-22,ee4130cb,420.52
2021-01-22,bc7eaa47,1373.51
2021-01-22,5fa00ef2,1960.15
2021-01-22,df29eacd,960.94
2021-01-22,2795e32e,1715.58
2021-01-22,5182fb4d,2469.45
2021-01-22,6b9a799c,212.77
2021-01-22,17d73797,2022.35
2021-01-22,903d9cff,2442.09
2021-01-22,319ed717,1599.03
2021-01-22,a72fb910,4124.02
2021-01-22,af20bca1,1251.77
2021-01-22,509fce59,1744.03
2021-01-22,8e89ccd1,3647.25
2021-01-22,14ef30b8,1332.87
2021-01-22,2496461c,2559.03
2021-01-22,a637f4f2,2353.97
2021-01-22,335bf47b,641.79
2021-01-22,eac052c5,1296.99
2021-01-22,573b3140,578.11
2021-01-22,f33d73ff,2872.13
2021-01-22,257803a3,2744.57
2021-01-23,8f40b54f,231.78
2021-01-23,e28e301a,2520.71
2021-01-23,438b7061,2368.66
2021-01-23,cff49f0b,1042.44
2021-01-23,51fefc12,508.27
2021-01-23,25889643,204.79
2021-01-23,d6f5a85d,1324.94
2021-01-23,6ce8243f,517.94
2021-01-23,e4aa83b4,2834.35
2021-01-23,ac1d8f46,1049.64
2021-01-23,48f290b8,1160.28
2021-01-23,6b5103d3,2093.09
2021-01-23,0b92562a,1136.99
2021-01-23,0fc11b43,2842.73
2021-01-23,7d04626d,1071.5
2021-01-23,6d5c0f3a,118.1
2021-01-23,03ad299e,438.97
2021-01-23,f86e7f85,2206.94
2021-01-23,7c96a8da,4720.17
2021-01-23,77d3ae82,2009.42
2021-01-23,953f024e,1411.73
2021-01-23,d6e3dc6b,1041.74
2021-01-23,60a467f8,770.1
2021-01-23,6f362a61,1054.87
2021-01-23,aa4d9791,1743.89
2021-01-23,158e30b6,1311.09
2021-01-23,86d58470,228.57
2021-01-23,fdcf3ec5,2141.96
2021-01-23,3674e47c,1327.46
2021-01-23,6fa956df,950.84
2021-01-23,2abfd465,3055.28
2021-01-23,49a27a8c,766.03
2021-01-23,8ecc4ea7,2016.03
2021-01-23,e736ba5d,1840.07
2021-01-23,1ec17bcb,2314.18
2021-01-23,f4764585,2440.61
2021-01-23,7641224e,3904.4
2021-01-23,21083fe9,4194.25
2021-01-23,4cc344a0,3845.18
2021-01-23,2a2e3796,2892.47
2021-01-23,dc0242cd,2420.13
2021-01-23,367ff926,1375.76
2021-01-23,0f435173,1996.03
2021-01-23,aa2de5b6,1560.78
2021-01-23,4230361c,540.14
2021-01-23,aee81942,3338.38
2021-01-23,c8c71204,1515.9
2021-01-23,047edd4d,772.72
2021-01-23,e129c4bf,2158.34
2021-01-23,7e701719,3164.26
2021-01-23,a16ef134,3833.8
2021-01-23,f7577ae9,522.21
2021-01-23,2bfe7621,1116.66
2021-01-23,f69f3b4a,366.3
2021-01-23,722aa0d5,618.23
2021-01-23,785c1948,1246.44
2021-01-23,a1e0ce88,650.44
2021-01-23,c720b985,2715.42
2021-01-23,a1193aba,2201.74
2021-01-23,2bcee1f9,1881.89
2021-01-23,a4b3ec15,2869.56
2021-01-23,d749f7e0,1291.76
2021-01-23,fdc3c68d,898.08
2021-01-23,31d08250,1858.39
2021-01-23,d075be3d,773.15
2021-01-23,44b90490,175.85
2021-01-23,e5dd56b9,1313.96
2021-01-23,733f4982,2833.96
2021-01-23,677c489b,2094.92
2021-01-23,4c437167,1695.53
2021-01-23,ebce9a73,478.17
2021-01-23,8ce1c0c5,2402.55
2021-01-23,bfacfbf0,1778.19
2021-01-23,cf48c632,232.68
2021-01-23,55f0281b,560.26
2021-01-23,7dfc933f,1844.57
2021-01-23,31d98a6a,1912.07
2021-01-23,7f247171,2531.44
2021-01-23,09ced772,1999.43
2021-01-23,a3b43849,1898.31
2021-01-23,fa43322a,2549.04
2021-01-23,69d0a9b3,1521.16
2021-01-23,14baa982,1497.12
2021-01-23,0cabc07c,3403.02
2021-01-23,5ee3ad1d,1976.42
2021-01-23,61a123f8,703.26
2021-01-23,89d58076,361.68
2021-01-23,8ec0400b,1214.48
2021-01-23,a6d13cea,1800.41
2021-01-23,1fbbaa65,423.8
2021-01-23,c8575c03,3022.63
2021-01-23,829c4f6b,2058.68
2021-01-23,8e351335,1765.0
2021-01-23,95f5388c,843.96
2021-01-23,78f0fbc7,3440.63
2021-01-23,dda1674e,2055.6
2021-01-23,5795f5b1,1214.47
2021-01-23,e9777645,925.37
2021-01-23,73ac53dc,1241.03
2021-01-23,745365ef,2765.01
2021-01-23,aa86fa16,1368.12
2021-01-23,6af326d8,1710.25
2021-01-23,f8f359db,800.91
2021-01-23,f6580645,1223.36
2021-01-23,b657483d,2754.45
2021-01-23,ee4130cb,412.42
2021-01-23,bc7eaa47,1558.99
2021-01-23,5fa00ef2,1484.81
2021-01-23,df29eacd,824.11
2021-01-23,2795e32e,1633.19
2021-01-23,5182fb4d,2175.98
2021-01-23,077ef06b,3173.89
2021-01-23,6b9a799c,270.73
2021-01-23,17d73797,2310.43
2021-01-23,903d9cff,2526.28
2021-01-23,319ed717,1390.66
2021-01-23,a72fb910,3981.35
2021-01-23,af20bca1,1521.13
2021-01-23,509fce59,1570.03
2021-01-23,8e89ccd1,4455.26
2021-01-23,14ef30b8,1524.43
2021-01-23,2496461c,2953.33
2021-01-23,a637f4f2,2365.55
2021-01-23,335bf47b,721.97
2021-01-23,eac052c5,1270.23
2021-01-23,573b3140,601.75
2021-01-23,257803a3,2741.36
2021-01-24,8f40b54f,328.72
2021-01-24,e28e301a,2195.23
2021-01-24,cff49f0b,944.04
2021-01-24,51fefc12,425.03
2021-01-24,25889643,195.49
2021-01-24,d6f5a85d,646.82
2021-01-24,6ce8243f,371.2
2021-01-24,e4aa83b4,1791.05
2021-01-24,ac1d8f46,733.01
2021-01-24,48f290b8,1070.24
2021-01-24,6b5103d3,1966.63
2021-01-24,f090045a,1507.05
2021-01-24,0b92562a,891.02
2021-01-24,0fc11b43,2514.88
2021-01-24,7d04626d,1066.41
2021-01-24,6d5c0f3a,85.74
2021-01-24,03ad299e,366.8
2021-01-24,f86e7f85,1667.15
2021-01-24,7c96a8da,3352.37
2021-01-24,77d3ae82,1473.16
2021-01-24,953f024e,1302.06
2021-01-24,d6e3dc6b,759.78
2021-01-24,60a467f8,517.09
2021-01-24,6f362a61,667.73
2021-01-24,aa4d9791,1318.04
2021-01-24,0ef6cf31,1121.27
2021-01-24,158e30b6,1308.72
2021-01-24,86d58470,119.17
2021-01-24,fdcf3ec5,1366.85
2021-01-24,3674e47c,1043.85
2021-01-24,6fa956df,680.12
2021-01-24,2abfd465,2032.6
2021-01-24,49a27a8c,508.76
2021-01-24,8ecc4ea7,1313.68
2021-01-24,e736ba5d,1490.61
2021-01-24,1ec17bcb,1664.47
2021-01-24,f4764585,1799.63
2021-01-24,7641224e,2963.85
2021-01-24,21083fe9,3241.79
2021-01-24,4cc344a0,2716.18
2021-01-24,2a2e3796,2232.62
2021-01-24,dc0242cd,1819.34
2021-01-24,367ff926,1327.03
2021-01-24,0f435173,1302.67
2021-01-24,aa2de5b6,1494.1
2021-01-24,528d9cff,945.77
2021-01-24,4230361c,394.32
2021-01-24,aee81942,1983.3
2021-01-24,c8c71204,1303.15
2021-01-24,e1c6f101,765.7
2021-01-24,047edd4d,681.93
2021-01-24,e129c4bf,1465.23
2021-01-24,7e701719,2326.12
2021-01-24,a16ef134,3906.47
2021-01-24,f7577ae9,532.14
